Ref,Date,Theme,Targeted user,Wearable type,Scalability,Wearable modalities,Fixed-sensor modalities,Objectives,Control Method,Verification
\citep{Mokhtari2018},2018,HAR,Occupants,BLE tag,Everyday use,Movement,N/A,Activity recognition,N/A,Experimens and simulation
\citep{Chaudhuri2018},2018,Thermal comfort,Occupants,Finger and arm mounted,Experiment set up,"Skin temperature, pulse rate, blood oxygen saturation, blood pressure","Air and black globe temperature, relative humidity, air velocity",Thermal comfort prediction,N/A,Experiment
\citep{Dai2017},2017,Thermal comfort,Occupants,Skin mounted,Everyday use,Skin Temperature,N/A,Thermal comfort prediction,N/A,Experiment
\citep{Ghahramani2018},2018,HAR,Occupants,Lanyard,Everyday use,"Sound intensity, CO$_2$, light intensity, dry-bulb temperature, relative humidity, and pressure","Sound intensity, CO$_2$, light intensity, dry-bulb temperature, relative humidity, and pressure",Activity recognition,N/A,Experiment
\citep{Koo2016},2016,HCA,Occupants,Wrist mounted,Everyday use,Acceleration,N/A,Home Automation,Appliance control,Experiment
\citep{Pierleoni2015},2015,AAL,Elderly user,Smartphone,Everyday use,Acceleration and magnetic field,N/A,Fall detection,N/A,Experiment
\citep{McWhorter2017a},2017,Healthcare,PTSD Patients,Smartwatch,Everyday use,Heart rate,N/A,Sleep monitoring,N/A,Simulation
\citep{George2017},2017,HCA,Occupants,Wrist mounted,Everyday use,RSSI,N/A,Personalized behaviour model,Light control,Experiment
\citep{Bindroo2017a},2017,HCA,Occupants,Wrist mounted,Everyday use,RSSI,N/A,Home Automation,Appliance control,Simulation
\citep{Cornelius2014a},2014,HCA,Occupants,Wrist mounted,Everyday use,Bioimpedance,N/A,User identification,N/A,Experiment
\citep{Maekawa2013a},2013,AAL,Elderly user,Glove,Experiment set up,Magnetic field,N/A,Activity recognition,N/A,Experiment
\citep{Nelson2015a},2015,AAL,Upper-extremity impaired,Textile,Everyday use,Capacitance,N/A,Gesture recognition,N/A,Experiment
\citep{Guerra2015},2015,AAL,Elderly user,Wrist mounted,Everyday use,RSSI,N/A,Localization,Occupancy count,Experiment
\citep{Mellone2015},2015,HCA,Elderly user,Waist and feet mounted,Everyday use,Acceleration,N/A,Activity recognition,N/A,Experiment
\citep{Datta2015a},2015,AAL,Elderly user,Wrist mounted,Everyday use,Skin temperature,N/A,Health monitoring,Temperature set-point control,Simulation
\citep{Oliveira2016a},2016,HCA,Occupants,Smartwatch,Experiment set up,"Pedometer, heart rate, skin temperature",Temperature and relative humidity,Behaviour modeling,Full environment control,Simulation
\citep{Feng2017a},2017,HCA,Occupants,"Eyeglasses, earbuds, and necklace",Everyday use,Acceleration,N/A,User authentication,N/A,Experiment
\citep{Hsu2017a},2017,HCA,Occupants,Wrist and feet mounted,Experiment set up,Acceleration,Temperature and CO$_2$,Gesture recognition and Localization,Appliances and light control,Experiment
\citep{Maurya2014a},2014,Healthcare,Elderly user,Wrist mounted,Experiment set up ,"ECG, body temperature, and pulse rate",N/A,Health Monitoring,N/A,Experiment
\citep{Sobeih2015a},2015,HCA,Occupants,Eyeglasses,Everyday use,Touch input,Temperature and  light intensity,Sensor interaction,Full environment control,Experiment
\citep{Bonino2012a},2012,HCA,Occupants,Smartwatch,Everyday use,Skin temperature and acceleration,N/A,Gesture recognition,Appliance control,Simulation
\citep{Jin2014b},2014,HCA,Occupants,Wrist mounted,Everyday use,"Ambient Temperature, relative humidity, light intensity, and acceleration",N.A,Activity and location recognition,N/A,Experiment
\citep{Mario2019},2019,HAR,Occupants,Body mounted,Everyday use,Acceleration,N/A,Activity recognition,N/A,Experiment
